Source,SampleID,Seat tube (m),Down tube (m),Seat stays (m),Head tube (m),Bottom bracket (m),Chain stay start (m) [Back fork side],Chain stay end (m) [seat tube side],Top tube start (m) [Seat tube side],Top tube end (m) [Head tube side],Seat tube Joint (MPa),Head tube Joint (MPa),Bottom Bracket Joint (MPa),Seat tube Joint (Pa),Head tube Joint (Pa),Bottom Bracket Joint (Pa),Vertical Force (N),Vertical Displacement (m),Vertical Displacement (mm),Vertical Compliance (mm/N),Vertical Stiffness (N/mm),Lateral Force (N),Lateral Displacement (m),Lateral Displacement (mm),Lateral Stiffness (N/mm)
Fillet_First60,65,0.00162385,0.00247413,0.00135099,0.00206648,0.00152656,0.00208753,0.00160345,0.00293849,0.00167684,31.955,53.104,59.496,3.20E+07,5.31E+07,5.95E+07,2400,-4.72E-04,-0.471566,0.00019649,5089.420353,1660,-1.57E-03,-1.573143,1055.212652
Fillet_First60,66,0.00156407,0.00231585,0.00132305,0.00222071,0.00162014,0.00212903,0.00161448,0.00290811,0.00168116,32.404,49.448,55.706,3.24E+07,4.94E+07,5.57E+07,2400,-4.82E-04,-0.481799,0.00020075,4981.328302,1660,-1.60E-03,-1.595587,1040.369738
Fillet_First60,67,0.0015147,0.00246583,0.00130392,0.00244018,0.0019923,0.00214742,0.00164794,0.0029193,0.00167193,32.798,46.28,47.371,3.28E+07,4.63E+07,4.74E+07,2400,-4.79E-04,-0.478626,0.00019943,5014.355919,1660,-1.60E-03,-1.600689,1037.05337
Fillet_First60,68,0.00158972,0.00236345,0.00101169,0.00251473,0.00244237,0.00208482,0.0016193,0.0028939,0.00165584,40.873,45.845,46.902,4.09E+07,4.58E+07,4.69E+07,2400,-5.18E-04,-0.517782,0.00021574,4635.151744,1660,-1.74E-03,-1.739748,954.161124
Fillet_First60,69,0.00157077,0.00254027,0.00150398,0.00248831,0.00240738,0.00215137,0.00162545,0.00293263,0.00168332,29.166,46.292,43.846,2.92E+07,4.63E+07,4.38E+07,2400,-4.50E-04,-0.449563,0.00018732,5338.522528,1660,-1.53E-03,-1.534451,1081.82025
Fillet_First60,70,0.00178113,0.00239726,0.00108839,0.00249905,0.00205988,0.00215336,0.00161692,0.00287942,0.00167624,38.304,44.489,47.974,3.83E+07,4.45E+07,4.80E+07,2400,-4.91E-04,-0.491249,0.00020469,4885.509005,1660,-1.66E-03,-1.656244,1002.267702
Fillet_First60,71,0.00166883,0.00240745,0.00108076,0.00226454,0.00156903,0.00208351,0.00163361,0.0028533,0.00165448,38.677,48.024,57.47,3.87E+07,4.80E+07,5.75E+07,2400,-5.08E-04,-0.507657,0.00021152,4727.602564,1660,-1.69E-03,-1.692365,980.875897
Fillet_First60,72,0.00177095,0.00249298,0.00132963,0.00277715,0.00164852,0.00216297,0.00160132,0.00290344,0.00165734,32.396,46.079,55.077,3.24E+07,4.61E+07,5.51E+07,2400,-4.62E-04,-0.461737,0.00019239,5197.766863,1660,-1.56E-03,-1.562334,1062.512834
Fillet_First60,73,0.00160067,0.00201536,0.00151268,0.00217731,0.00193414,0.00209526,0.00163908,0.00287723,0.00169638,28.832,51.237,57.12,2.88E+07,5.12E+07,5.71E+07,2400,-4.67E-04,-0.466726,0.00019447,5142.204816,1660,-1.54E-03,-1.54174,1076.705586
Fillet_First60,74,0.00155005,0.00206414,0.00147884,0.00204238,0.00170992,0.00212148,0.00163309,0.00286209,0.00169308,29.367,54.67,57.711,2.94E+07,5.47E+07,5.77E+07,2400,-4.73E-04,-0.472917,0.00019705,5074.890968,1660,-1.55E-03,-1.548765,1071.82203
